                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7111,                 4.0986,                   3.31,                 1.9364,                0.01642,                0.49107,                0.01383,                0.00615,                0.01508,                0.46429,                0.01209,                0.00336,                 1.2468,                 2.8357,                 9.3759,                 1.6679,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.2142,                 2.4771,                 2.1888,                 1.4656,                0.03145,                 0.1875,                0.03137,                0.01587,                 0.0305,                  0.625,                0.03256,                0.01434,                 1.1209,                  2.079,                 7.2423,                 1.4511,             0.00022574,             0.00022574,             0.00022574
                      3,                 1.0934,                 2.2645,                 1.8882,                  1.341,                0.06377,                0.13196,                0.10969,                0.05767,                0.06724,                0.14286,                0.10953,                0.03898,                 1.0409,                 2.4458,                 5.1117,                   1.27,             0.00032661,             0.00032661,             0.00032661
                      4,                 1.1147,                   2.22,                   1.81,                 1.2714,                0.06119,                0.44808,                0.07702,                0.04011,                0.05491,                0.29464,                0.05885,                0.02892,                  1.045,                 1.9695,                  7.192,                 1.2634,             0.00041511,             0.00041511,             0.00041511
                      5,                 1.1011,                 2.1077,                 1.5574,                 1.3309,                0.05317,                0.39286,                0.08398,                 0.0492,                   0.05,                0.14286,                0.06676,                0.04045,                  1.168,                 2.6674,                 9.3165,                 1.3599,             0.00049123,             0.00049123,             0.00049123
                      6,                  1.216,                 2.1082,                  1.716,                 1.3662,                0.03791,                0.54464,                0.08002,                0.05929,                0.03782,                0.52679,                0.07863,                0.05027,                 1.0202,                 3.0009,                 3.8475,                  1.287,             0.00055497,             0.00055497,             0.00055497
                      7,                  1.152,                 2.0002,                 2.1313,                 1.3226,                0.03791,                0.54464,                0.08002,                0.05929,                0.03782,                0.52679,                0.07863,                0.05027,                 1.0202,                 3.0009,                 3.8475,                  1.287,             0.00060634,             0.00060634,             0.00060634
                      8,                 1.2526,                 2.0066,                  2.082,                 1.4371,                0.01548,                0.64286,                0.02418,                0.01486,                0.01492,                0.58929,                0.02295,                0.01445,                 1.1498,                 2.8713,                 5.4242,                 1.4367,             0.00064533,             0.00064533,             0.00064533
                      9,                 1.1997,                 1.8428,                 1.7384,                 1.3017,                0.01548,                0.64286,                0.02418,                0.01486,                0.01492,                0.58929,                0.02295,                0.01445,                 1.1498,                 2.8713,                 5.4242,                 1.4367,             0.00067195,             0.00067195,             0.00067195
                     10,                 1.2446,                 1.9677,                   1.79,                 1.4119,                0.03358,                0.13393,                 0.0279,                 0.0187,                0.03358,                0.13393,                0.02352,                0.01614,                 1.1389,                 3.1776,                 5.7582,                 1.3792,             0.00068619,             0.00068619,             0.00068619
                     11,                 1.2344,                 2.1191,                 2.4847,                  1.416,                0.03358,                0.13393,                 0.0279,                 0.0187,                0.03358,                0.13393,                0.02352,                0.01614,                 1.1389,                 3.1776,                 5.7582,                 1.3792,             0.00063125,             0.00063125,             0.00063125
                     12,                  1.237,                 2.1827,                 2.1845,                 1.4379,                0.04151,                 0.0625,                0.01903,                0.01065,                0.03518,                0.05392,                0.01617,                0.01004,                 1.4312,                 3.9905,                 4.3497,                 1.5856,             0.00063125,             0.00063125,             0.00063125
                     13,                 1.3268,                 2.1168,                 2.1068,                 1.5631,                0.04151,                 0.0625,                0.01903,                0.01065,                0.03518,                0.05392,                0.01617,                0.01004,                 1.4312,                 3.9905,                 4.3497,                 1.5856,             0.00056938,             0.00056938,             0.00056938
                     14,                 1.2801,                 2.2231,                 2.1046,                 1.5592,                 0.0084,                 0.4375,                0.01657,                0.00881,                0.00808,                0.42857,                  0.016,                0.00866,                 1.2864,                 2.7165,                 4.1748,                 1.4993,              0.0005075,              0.0005075,              0.0005075
                     15,                 1.2438,                 1.8751,                 1.6558,                 1.4756,                 0.0084,                 0.4375,                0.01657,                0.00881,                0.00808,                0.42857,                  0.016,                0.00866,                 1.2864,                 2.7165,                 4.1748,                 1.4993,             0.00044563,             0.00044563,             0.00044563
                     16,                 1.1894,                  1.996,                 1.5892,                 1.4029,                0.01184,                 0.5625,                0.03729,                0.01928,                 0.0117,                0.54464,                0.03145,                0.01839,                 1.1404,                  2.334,                 4.5776,                 1.4098,             0.00038375,             0.00038375,             0.00038375
                     17,                 1.1283,                  1.699,                  1.334,                  1.378,                0.01184,                 0.5625,                0.03729,                0.01928,                 0.0117,                0.54464,                0.03145,                0.01839,                 1.1404,                  2.334,                 4.5776,                 1.4098,             0.00032188,             0.00032188,             0.00032188
                     18,                 1.1127,                 1.7796,                 1.3445,                 1.3713,                0.01318,                  0.125,                0.05114,                0.02768,                0.01318,                  0.125,                0.04382,                0.02343,                 1.0634,                 2.2333,                  4.401,                 1.3595,                0.00026,                0.00026,                0.00026
                     19,                 1.0361,                 1.7348,                 1.2523,                  1.319,                0.01318,                  0.125,                0.05114,                0.02768,                0.01318,                  0.125,                0.04382,                0.02343,                 1.0634,                 2.2333,                  4.401,                 1.3595,             0.00019813,             0.00019813,             0.00019813
                     20,                  1.039,                 1.6143,                 1.2398,                 1.3739,                0.03853,                0.39286,                0.05103,                0.03044,                0.03853,                0.39286,                 0.0477,                0.02692,                0.98403,                 2.0335,                 4.2129,                  1.278,             0.00013625,             0.00013625,             0.00013625
